Keyword;Order;Title;Body;Face;Face Closeup;Gesturing;AI Gen;Title In ;Text In;Composite;Low Quality
Architecture of Denmark;14;What Makes Danish Architecture Unique? - Unmapping Scandinavia;1;1;0;0;1;1;1;1;0
Architecture of Denmark;2;The Architect's Guide to Copenhagen – Sofie Lund Michaelsen ;1;0;0;0;0;0;0;0;0
Architecture of Denmark;3;Copenhagen - The world's greenest capital city | DW Documentary;1;1;0;0;0;0;1;0;0
Architecture of Denmark;29;Danish Modern Architecture Tour;0;0;0;0;0;0;1;0;0
Architecture of Denmark;28;The Future Danish Parliament [ Architecture ];1;0;0;0;0;0;0;0;0
Architecture of Denmark;6;Wonders of Denmark | Best Places to Visit in Denmark | Travel Documentary 4K;0;0;0;0;1;0;1;0;0
Architecture of Denmark;11;4K Copenhagen Architecture Biennial 2025: Slow Down;1;0;0;0;0;0;1;1;0
Architecture of Denmark;34;Exploring Copenhagen's Danish Architecture Centre: A Walk Through History and Design;0;0;0;0;0;0;0;0;0
Architecture of Denmark;21;Crash course on Denmark: People, Historical Landmarks and Architecture@anhubmetaverse2457;1;1;0;0;0;0;0;0;1
Architecture of Denmark;5;Danish Summerhouse: Architecture in Harmony with Nature | ARCHITECTURE HUNTER;1;0;0;0;0;0;1;0;0
Architecture of Denmark;32;Dr Walter Pelka on Danish architecture and sustainability;1;1;0;0;0;0;0;0;0
Architecture of Denmark;27;Denmark's Pavilion at Venice Architecture Biennale 2025 | A Conversation with Curator S?ren Pihlmann;1;1;0;0;0;0;1;0;0
Architecture of Denmark;33;How Does Danish Architecture Influence Other Countries? - Unmapping Scandinavia;1;1;0;0;1;1;1;1;0
Architecture of Denmark;12;Wonders of DENMARK | This is what it's like to LIVE in Denmark | The HAPPIEST PLACES in the world 4K;0;0;0;0;0;1;1;0;0
Architecture of Denmark;10;Copenhagen UNESCO Capital of Architecture;0;1;1;0;0;0;1;0;1
Architecture of Denmark;7;What Is Danish Design? Exploring The Ingenuity Of Design In Denmark | America By Design;1;1;1;0;0;0;1;1;0
Architecture of Denmark;25;Copenhagen is for you... | UNESCO-UIA World Capital of Architecture 2023;0;0;0;0;0;0;1;0;0
Architecture of Denmark;18;Best Architecture COPENHAGEN Denmark;0;0;0;0;0;1;1;1;0
Architecture of Denmark;26;COPENHAGEN, DENMARK 4K – Unveiling Historic Canals, Modern Architecture & Bicycle Culture;1;0;0;0;0;0;1;0;0
Architecture of Denmark;39;Design and Architecture Copenhagen, Denmark 2021;0;0;0;0;0;1;1;0;0
Architecture of Denmark;37;All about Blox and the Danish Architecture Centre (DAC), Copenhagen;0;0;0;0;0;0;1;0;0
Architecture of Denmark;13;Inside a Danish Architect's Mid-Century House | Timeless Nordic Design on a London Terrace;1;1;0;0;0;0;1;0;0
Architecture of Denmark;36;Denmark | Aarhus - Arts and Architecture;0;0;0;0;0;0;0;0;0
Architecture of Denmark;40;Inside Danish Architecture: Kanonhuset by Entasis;0;0;0;0;0;0;1;0;0
Architecture of Denmark;19;Inside Danish Architecture: Kannikeg?rden by Lundgaard & Tranberg Architects;0;0;0;0;0;1;1;0;0
Architecture of Denmark;15;Inside a Nordic Barnhouse in Denmark's Scenic Landscape;0;0;0;0;0;0;1;0;0
Architecture of Denmark;20;Denmark: A Journey Through Time, Design, and Sustainability ;0;0;0;0;1;0;1;0;0
Architecture of Denmark;4;Copenhagen Architectur Spanning Centuries;0;0;0;0;0;0;1;0;0
Architecture of Denmark;35;Host conferences, meetings and events in Danish Architecture Center;0;0;0;0;0;0;1;0;0
Architecture of Denmark;23;Architecture History: Paint and Color in Denmark;0;0;0;0;0;0;1;0;0
Architecture of Denmark;17;The Panorama of CPH House: Architectural Tour House In Denmark | ARCHITECTURE HUNTER;0;0;0;0;0;1;1;0;0
Architecture of Denmark;8;TOP 5 CRAZY APARTMENT BUILDINGS IN COPENHAGEN: Explore the architecture of BIG Builds, MVRDV & more ;1;1;0;1;0;0;1;1;0
Architecture of Denmark;9;Why I moved OUT of Denmark - 3 things they don't tell you! ;1;1;1;1;0;1;1;0;0
Architecture of Denmark;24;Copenhagen Architecture Tour with Aashna | The Circle Bridge, Tietgen Kollegium, 8 House and more!;1;1;0;1;0;1;1;0;0
Architecture of Denmark;31;Where Can You See Examples Of Danish Architecture? - Unmapping Scandinavia;1;1;0;0;1;1;1;0;0
Architecture of Denmark;38;Inside A Sustainable Power Plant With A Ski Slope On Its Roof | Unique Spaces | Architectural Digest;0;0;0;0;0;0;0;0;0
Architecture of Denmark;30;How Does Climate Affect Danish Architecture? - Unmapping Scandinavia;1;1;0;0;1;1;1;1;0
Architecture of Denmark;1;Questioning World Architecture: Denmark;0;0;0;0;0;1;1;0;0
Architecture of Denmark;22;What Is The History Of Danish Architecture? - Unmapping Scandinavia;1;1;0;0;1;1;1;1;0
Architecture of Denmark;16;In Loco With SPOL Architects: House in Denmark (interview) | ARCHITECTURE HUNTER;0;0;0;0;0;1;1;0;0
AlcatrazHistory;14;Alcatraz Island History: From Fortress to Federal Prison;0;0;0;0;0;0;1;0;0
AlcatrazHistory;2;The Alcatraz Escape: Boldest Prison Break in U.S. History | History's Greatest Mysteries (S5);0;1;1;0;0;0;0;1;0
AlcatrazHistory;3;HISTORY OF | History of Alcatraz;0;0;0;0;0;0;0;0;0
AlcatrazHistory;29;Escape from Alcatraz | America's Toughest Prison #history;0;1;1;0;1;0;1;1;0
AlcatrazHistory;28;History of Alcatraz - The Prison No One Escaped?;0;0;0;0;0;0;1;0;0
