Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,Age,Code_4_participation,Condition_Id,copy_of_factor1_tg1_task0_9ba3,Country_of_current_residence,English_Profeciency,factor1_tg1_task0,Feedback_Not_Continue,Gender,HowDoYouLookForThem,HowMayTimesYT,LAST_Visited_Page,Mother_Tongue,Row_Concept_1,Row_Concept_10,Row_Concept_11,Row_Concept_12,Row_Concept_13,Row_Concept_14,Row_Concept_15,Row_Concept_16,Row_Concept_17,Row_Concept_18,Row_Concept_19,Row_Concept_2,Row_Concept_20,Row_Concept_3,Row_Concept_4,Row_Concept_5,Row_Concept_6,Row_Concept_7,Row_Concept_8,Row_Concept_9,Row_Proced_1,Row_Proced_10,Row_Proced_11,Row_Proced_12,Row_Proced_13,Row_Proced_14,Row_Proced_15,Row_Proced_16,Row_Proced_17,Row_Proced_18,Row_Proced_19,Row_Proced_2,Row_Proced_20,Row_Proced_3,Row_Proced_4,Row_Proced_5,Row_Proced_6,Row_Proced_7,Row_Proced_8,Row_Proced_9,YouTubeAsSourceInfo,Always_Fullscreen,Browser_Spec,BrowserVersion_Spec,Completed,Crowdsourcing_Code,Crowdsourcing_SubjId,End_Time,End_Time_Local,Exp_Subject_Id,Experiment_Version,Group_Name,Group_Nr,Rec_Session_Id,Screen_Refresh_Rate,Session_Name,Session_Nr,Session_Token,Start_Time,Start_Time_Local,Subject_Code,Subject_Nr,Subject_Nr_Per_Group,System_Spec,TimeMeasure_Mean,TimeMeasure_Std,Window_Height_In_Pixels,Window_Width_In_Pixels
1448993,1,1,block_1,1,DeBriefingSlide,4,"",Burza,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,1,5,block_1,1,The_Task_Conceptual,2,"","",3,"","","",level_3,"","","","","","",false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,true,true,true,false,false,"","","","","","","","","","","","","","","","","","","","","",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,1,5,block_1,1,The_Task_Procedural,3,"","",3,level_3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,1,1,block_1,1,Introduction,1,23,"",1,"",Poland,C2,"","",Female (a woman),"",1–2 times a day,"",Polish,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,2,12,block_1,1,The_Task_Procedural,3,"","",6,level_6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,"",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,2,12,block_1,1,The_Task_Conceptual,2,"","",6,"","","",level_6,"","","","","","",true,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,true,false,true,false,"","","","","","","","","","","","","","","","","","","","","",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,3,3,block_1,1,The_Task_Conceptual,2,"","",2,"","","",level_2,"","","","","","",true,false,false,false,false,true,false,false,true,true,false,false,false,true,false,true,false,false,false,true,"","","","","","","","","","","","","","","","","","","","","",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,3,3,block_1,1,The_Task_Procedural,3,"","",2,level_2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,"",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,4,15,block_1,1,The_Task_Procedural,3,"","",8,level_8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,true,"",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
1448993,4,15,block_1,1,The_Task_Conceptual,2,"","",8,"","","",level_8,"","","","","","",false,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,true,"","","","","","","","","","","","","","","","","","","","","",true,Chrome,141.0.0.0 Safari/537.36,true,"","",2025-10-21T17:48:23.797Z,2025-10-21 19:48:23+02,1228673,701,group_1,1,1448993,59.880239520962,session_1,1,3db8f37c10a7d1c274566676dab1605a,2025-10-21T17:09:22.876Z,2025-10-21 19:09:13+02,"",6,6,Windows-PC,2.5054229934924024,3.9451874751019487,864,1536
